1. [1] Dolo 650 650mg | Tablet | Micro Labs
4869. [4869] Ampline 10mg | Tablet | Ipca
4870. [4870] Vanczepam SR 800mg | Sachet | Aristo
4871. [4871] Vanclone ER 75mg | Ointment | Sun Pharma
4872. [4872] Dacpram 150mg | Sachet | Dr. Reddys
4873. [4873] Telprevir SR 20ml | Injection | Alkem
4874. [4874] Colzosin 1000mg | Cream | Ipca
4875. [4875] Novedoc 150mg | Powder | Intas
4876. [4876] Bacfungin SR 20ml | Ointment | Mankind
4877. [4877] Omepitant 650mg | Powder | GSK
4878. [4878] Clinpiride 150mg | Syrup | Novartis
4879. [4879] Panipam Forte 800mg | Syrup | Micro Labs
4880. [4880] Tazopine Plus 5ml | Ointment | USV
4881. [4881] Aviprofen A 5mg | Sachet | Dr. Reddys
4882. [4882] Merostatin Plus 10ml | Tablet | Mankind
4883. [4883] Amlpitant O 150mg | Powder | Novartis
4884. [4884] Novepraz 200mcg | Capsule | Sun Pharma
4885. [4885] Acixacin 200mg | Injection | Sun Pharma
4886. [4886] Amlasvir ER 20mg | Tablet | Ipca
4887. [4887] Pandoc Plus 5mg | Cream | Biocon
4888. [4888] Cefdone 100mg | Drops | Pfizer
4889. [4889] Azloprevir 2mg | Tablet | Emcure
4890. [4890] Telnide 5ml | Inhaler | Serum Institute
4891. [4891] Ceffenac Forte 200mcg | Inhaler | Aristo
4892. [4892] Triloterol 5mg | Tablet | Lupin
4893. [4893] Sanozolid Plus 800mg | Powder | Glenmark
4894. [4894] Sulxicam A 10ml | Powder | Wockhardt
4895. [4895] Atorpine 75mg | Inhaler | Macleods
4896. [4896] Farprofen O 1000mg | Tablet | Glenmark
4897. [4897] Omepride 10ml | Drops | Zydus Cadila
4898. [4898] Pivral M 100mcg | Sachet | Aristo
4899. [4899] Ampcet 75mg | Drops | Emcure
4900. [4900] Ticamycin 20mg | Capsule | Lupin
4901. [4901] Rabpiride 20mg | Tablet | Glenmark
4902. [4902] Velsone 150mg | Capsule | Emcure
4903. [4903] Noveflozin 20ml | Inhaler | Pfizer
4904. [4904] Ledxacin 500mg | Inhaler | Serum Institute
4905. [4905] Paramicin 20mg | Syrup | Aristo
4906. [4906] Methconazole Forte 200mg | Sachet | Alembic
4907. [4907] Daclone 200mg | Tablet | Intas
4908. [4908] Levpiride D 1000mg | Drops | Lupin
4909. [4909] Clavline 500mg | Drops | J.B. Chemicals
4910. [4910] Erylukast 5ml | Syrup | Cipla
4911. [4911] Linzolam Forte 650mg | Cream | Mankind
4912. [4912] Biatidine Forte 2gm | Ointment | Micro Labs
4913. [4913] Cetconazole 2.5mg | Cream | Pfizer
4914. [4914] Azithkacin M 20mg | Cream | Mankind
4915. [4915] Montox ER 5ml | Injection | Wockhardt
4916. [4916] Vildterol M 20mg | Injection | Micro Labs
4917. [4917] Cefzolid 2.5mg | Sachet | Sun Pharma
4918. [4918] Levformin O 250mg | Cream | Torrent
4919. [4919] Vabolol A 50mcg | Sachet | Sanofi
4920. [4920] Trilodone A 75mg | Drops | Intas
4921. [4921] Vanclone 1gm | Ointment | Sun Pharma
4922. [4922] Linpam 1mg | Inhaler | Macleods
4923. [4923] Erydoc A 10mg | Syrup | Serum Institute
4924. [4924] Ledox O 2gm | Powder | Wockhardt
4925. [4925] Relepram A 5ml | Sachet | Abbott
4926. [4926] Ribasartan A 2gm | Injection | Torrent
4927. [4927] Fampam SR 200mcg | Inhaler | Lupin
4928. [4928] Imipenem 200mcg | Ointment | Torrent
4929. [4929] Tazoprofen 1gm | Tablet | Intas
4930. [4930] Fampine 150mg | Tablet | Macleods
4931. [4931] Penzine A 2gm | Powder | Abbott
4932. [4932] Vabostin D 400mg | Injection | Ipca
4933. [4933] Montpam 0.5mg | Ointment | Pfizer
4934. [4934] Doritidine Forte 40mg | Cream | J.B. Chemicals
4935. [4935] Rosupiride 25mg | Cream | Zydus Cadila
4936. [4936] Ticakacin ER 20ml | Drops | Aristo
4937. [4937] Sitcet 800mg | Powder | Biocon
4938. [4938] Carbzine Plus 20mg | Syrup | Novartis
4939. [4939] Meroxacin 40mg | Ointment | Dr. Reddys
4940. [4940] Ganpitant Forte 1mg | Capsule | Emcure
4941. [4941] Panikast O 200mcg | Tablet | Wockhardt
4942. [4942] Ertamycin 40mg | Ointment | Lupin
4943. [4943] Tazconazole O 25mg | Sachet | Sanofi
4944. [4944] Foscoxib ER 250mg | Ointment | Ipca
4945. [4945] Tazofenac A 150mg | Drops | Wockhardt
4946. [4946] Ganzolam A 2gm | Tablet | Serum Institute
4947. [4947] Clinmicin 2.5mg | Powder | Glenmark
4948. [4948] Carbcoxib 800mg | Syrup | Aristo
4949. [4949] Vabocycline 0.5mg | Syrup | Aurobindo
4950. [4950] Dorimicin ER 50mg | Ointment | Wockhardt
4951. [4951] Paramycin 100mcg | Powder | Intas
4952. [4952] Diclopril 25mg | Powder | Zydus Cadila
4953. [4953] Amofungin ER 20ml | Sachet | Torrent
4954. [4954] Teltine 2.5mg | Injection | Aurobindo
4955. [4955] Montkacin A 40mg | Cream | Serum Institute
4956. [4956] Dackast 100mcg | Drops | Cipla
4957. [4957] Linedone O 25mg | Drops | Intas
4958. [4958] Releclav 650mg | Syrup | Wockhardt
4959. [4959] Vilddone 800mg | Ointment | Aristo
4960. [4960] Velnide 2mg | Inhaler | Pfizer
4961. [4961] Methzole ER 250mg | Injection | Torrent
4962. [4962] Tigefine 20mg | Syrup | J.B. Chemicals
4963. [4963] Azithkast O 400mg | Capsule | USV
4964. [4964] Sitzosin 20ml | Drops | Lupin
4965. [4965] Gancycline SR 800mg | Cream | Pfizer
4966. [4966] Tazzole 2gm | Powder | Serum Institute
4967. [4967] Velfungin O 40mg | Injection | Aristo
4968. [4968] Dacpram 1000mg | Inhaler | Zydus Cadila
4969. [4969] Famline 650mg | Capsule | Mankind
4970. [4970] Oxanide 100mg | Sachet | Aristo
4971. [4971] Avipine D 500mg | Powder | GSK
4972. [4972] Sulcillin 800mg | Capsule | Sanofi
4973. [4973] Avikacin 1000mg | Drops | Emcure
4974. [4974] Sulpitant M 1mg | Capsule | Serum Institute
4975. [4975] Sulpraz 1mg | Tablet | Macleods
4976. [4976] Lineprevir 0.5mg | Inhaler | Macleods
4977. [4977] Trilomycin SR 0.5mg | Sachet | Abbott
4978. [4978] Trilomycin 50mg | Ointment | Pfizer
4979. [4979] Clindoc D 25mg | Drops | Lupin
4980. [4980] Famterol 650mg | Ointment | Pfizer
4981. [4981] Pantine M 50mcg | Ointment | Alembic
4982. [4982] Amppraz A 200mg | Syrup | Wockhardt
4983. [4983] Tenfenac Forte 1gm | Injection | Intas
4984. [4984] Biatidine 40mg | Capsule | FDC
4985. [4985] Cilvir 25mg | Ointment | FDC
4986. [4986] Clinmicin 20ml | Ointment | Intas
4987. [4987] Parasolone Plus 2mg | Syrup | Sun Pharma
4988. [4988] Amllone Forte 200mg | Powder | Mankind
4989. [4989] Levlone D 1gm | Cream | USV
4990. [4990] Vancdoc A 100mcg | Capsule | Mankind
4991. [4991] Sofral O 150mg | Drops | Aristo
4992. [4992] Dorigliptin ER 2.5mg | Powder | FDC
4993. [4993] Tigeclav 2gm | Cream | USV
4994. [4994] Empgliptin 250mg | Injection | Cipla
4995. [4995] Panigliptin M 50mcg | Injection | Mankind
4996. [4996] Sitmicin SR 5ml | Tablet | Ipca
4997. [4997] Cetlam 10mg | Sachet | Zydus Cadila
4998. [4998] Fosmine Plus 200mg | Injection | Pfizer
4999. [4999] Rabxacin A 500mg | Capsule | Serum Institute
5000. [5000] Azithzolam Forte 500mg | Cream | Abbott
5001. [5001] Valstatin Forte 650mg | Injection | Glenmark
5002. [5002] Cloxpam ER 50mg | Drops | Glenmark
5003. [5003] Fammicin 75mg | Inhaler | USV
5004. [5004] Atorlam D 75mg | Inhaler | Cipla
5005. [5005] Doriflozin O 150mg | Cream | Macleods
5006. [5006] Gansetron 0.5mg | Inhaler | USV
5007. [5007] Oxamicin Forte 75mg | Ointment | Cipla
5008. [5008] Metsone 100mcg | Inhaler | Alembic
5009. [5009] Biapium Forte 2mg | Syrup | Aurobindo
5010. [5010] Tazozolid Forte 150mg | Powder | Ipca
5011. [5011] Metdipine Forte 1000mg | Injection | Sanofi
5012. [5012] Merocoxib 100mcg | Sachet | Glenmark
5013. [5013] Cloxmine 200mcg | Syrup | Aristo
5014. [5014] Telcillin 800mg | Ointment | Sun Pharma
5015. [5015] Novezosin O 1000mg | Tablet | Intas
5016. [5016] Tazpram Forte 650mg | Syrup | GSK
5017. [5017] Clinpiride 5ml | Tablet | Macleods
5018. [5018] Acistin D 800mg | Powder | FDC
5019. [5019] Sofzolam SR 2mg | Ointment | Wockhardt
5020. [5020] Famformin D 0.5mg | Cream | Emcure
5021. [5021] Tigexacin 10ml | Capsule | Novartis
5022. [5022] Tazocycline M 500mg | Cream | Torrent
5023. [5023] Ertamine ER 2gm | Powder | Torrent
5024. [5024] Valpium 2mg | Injection | Abbott
5025. [5025] Dacpine 25mg | Drops | Torrent
5026. [5026] Parafungin Plus 200mg | Sachet | Cipla
5027. [5027] Vanczine M 650mg | Cream | Sun Pharma
5028. [5028] Vancconazole Plus 500mg | Drops | GSK
5029. [5029] Acilol 50mcg | Injection | Alembic
5030. [5030] Dapfine 200mg | Capsule | J.B. Chemicals
5031. [5031] Amoxmycin 100mg | Tablet | Aristo
5032. [5032] Ribapine 50mcg | Sachet | Wockhardt
5033. [5033] Amlmine 20ml | Syrup | USV
5034. [5034] Farpine 25mg | Cream | Dr. Reddys
5035. [5035] Doricet Forte 40mg | Syrup | Novartis
5036. [5036] Carbvir Plus 250mg | Cream | Lupin
5037. [5037] Rabvir Forte 0.5mg | Powder | Aurobindo
5038. [5038] Meropraz A 2mg | Tablet | Alembic
5039. [5039] Pengliptin 200mg | Powder | Mankind
5040. [5040] Nafzepam 650mg | Ointment | Aristo
5041. [5041] Gantine O 200mcg | Syrup | Sanofi
5042. [5042] Emplukast 400mg | Ointment | Pfizer
5043. [5043] Eryxicam SR 100mcg | Injection | Mankind
5044. [5044] Glimpril ER 500mg | Cream | Lupin
5045. [5045] Vancpril 2gm | Powder | Abbott
5046. [5046] Cloxfine ER 50mg | Injection | Novartis
5047. [5047] Azloxacin ER 5mg | Powder | Cipla
5048. [5048] Bacma Plus 1000mg | Drops | Biocon
5049. [5049] Biamine Plus 500mg | Capsule | Lupin
5050. [5050] Tazlol 10mg | Tablet | Wockhardt
5051. [5051] Clingliptin 400mg | Inhaler | Torrent
5052. [5052] Dorizole 2.5mg | Sachet | Intas
5053. [5053] Sanogliptin A 650mg | Powder | Glenmark
5054. [5054] Amoxpam SR 75mg | Drops | Cipla
5055. [5055] Cidterol 10mg | Drops | Alkem
5056. [5056] Linpitant 5ml | Drops | Dr. Reddys
5057. [5057] Pipxicam 1gm | Sachet | Aristo
5058. [5058] Linelukast ER 10ml | Syrup | FDC
5059. [5059] Sofpam M 2gm | Cream | Lupin
5060. [5060] Paraxacin 100mcg | Tablet | Ipca
5061. [5061] Ganzolam 0.5mg | Drops | Sanofi
5062. [5062] Ertacet M 500mg | Capsule | USV
5063. [5063] Vildflozin 200mcg | Powder | Lupin
5064. [5064] Linral 200mcg | Sachet | Sanofi
5065. [5065] Paraline 10ml | Drops | Abbott
5066. [5066] Ticapride 400mg | Sachet | Aurobindo
5067. [5067] Vanczolam D 0.5mg | Ointment | J.B. Chemicals
5068. [5068] Imipram 200mcg | Cream | Dr. Reddys
5069. [5069] Sanoasvir 5mg | Powder | Emcure
5070. [5070] Panima 250mg | Sachet | Aristo
5071. [5071] Empma 200mg | Capsule | Lupin
5072. [5072] Sanopril 10mg | Syrup | Abbott
5073. [5073] Panlam D 500mg | Cream | Mankind
5074. [5074] Clavprevir SR 25mg | Inhaler | Serum Institute
5075. [5075] Montpiride 200mcg | Injection | USV
5076. [5076] Bacstin A 400mg | Capsule | Dr. Reddys
5077. [5077] Montcillin Forte 1gm | Powder | Biocon
5078. [5078] Cloxpiride 2gm | Ointment | Wockhardt
5079. [5079] Releformin ER 50mg | Cream | GSK
5080. [5080] Tazoformin O 5mg | Inhaler | Cipla
5081. [5081] Sulprevir O 50mg | Powder | Aurobindo
5082. [5082] Telpenem 100mcg | Injection | Novartis
5083. [5083] Tigema SR 200mg | Ointment | Biocon
5084. [5084] Ganral A 200mg | Syrup | Alkem
5085. [5085] Panpenem ER 250mg | Injection | Cipla
5086. [5086] Carbxicam 0.5mg | Capsule | Macleods
5087. [5087] Oxabuvir ER 650mg | Inhaler | Alkem
5088. [5088] Cloxox D 0.5mg | Syrup | Ipca
5089. [5089] Diclokacin D 50mcg | Injection | Serum Institute
5090. [5090] Levpium 50mg | Tablet | Dr. Reddys
5091. [5091] Azlocet SR 50mcg | Powder | Alkem
5092. [5092] Methtine 40mg | Powder | Emcure
5093. [5093] Pivtine 10mg | Syrup | Glenmark
5094. [5094] Methzolid D 100mg | Syrup | GSK
5095. [5095] Panibactam 5mg | Powder | Aristo
5096. [5096] Sanostatin A 1mg | Drops | Alembic
5097. [5097] Telxacin 650mg | Tablet | Novartis
5098. [5098] Telzolam 1000mg | Sachet | Lupin
5099. [5099] Clavlone M 200mg | Cream | FDC
5100. [5100] Gangliptin Forte 250mg | Inhaler | Cipla
5101. [5101] Acilol O 40mg | Syrup | USV
5102. [5102] Empgliptin A 2.5mg | Syrup | Lupin
5103. [5103] Veldoc 75mg | Injection | Aristo
5104. [5104] Glimprevir O 20mg | Drops | Abbott
5105. [5105] Cilox D 1gm | Injection | Serum Institute
5106. [5106] Sitclav 200mg | Powder | Sanofi
5107. [5107] Ticazine 10mg | Capsule | Macleods
5108. [5108] Doricet 0.5mg | Inhaler | Alkem
5109. [5109] Azlosartan 650mg | Capsule | Pfizer
5110. [5110] Linestin M 2.5mg | Drops | Sun Pharma
5111. [5111] Ribacillin Forte 650mg | Capsule | USV
5112. [5112] Omeflozin 10mg | Cream | Aurobindo
5113. [5113] Sitzepam ER 1mg | Injection | Mankind
5114. [5114] Azlocoxib M 2gm | Injection | Aristo
5115. [5115] Sulxicam 10ml | Sachet | Glenmark
5116. [5116] Telstatin 75mg | Ointment | Macleods
5117. [5117] Dacflozin 250mg | Drops | Intas
5118. [5118] Cidprevir ER 50mcg | Ointment | Glenmark
5119. [5119] Avivir 500mg | Tablet | Abbott
5120. [5120] Sofcycline 100mcg | Sachet | Alkem
5121. [5121] Ampdone Plus 10mg | Capsule | GSK
5122. [5122] Piptine 50mcg | Injection | USV
5123. [5123] Relebactam 2gm | Cream | USV
5124. [5124] Tazosetron 20ml | Ointment | Emcure
5125. [5125] Atortidine Forte 400mg | Cream | Torrent
5126. [5126] Taztine Plus 200mcg | Injection | J.B. Chemicals
5127. [5127] Atorsartan 100mcg | Ointment | Mankind
5128. [5128] Metsartan SR 250mg | Ointment | J.B. Chemicals
5129. [5129] Ledxicam 650mg | Drops | Biocon
5130. [5130] Farlol 20mg | Injection | Lupin
5131. [5131] Cidma ER 5ml | Capsule | Aurobindo
5132. [5132] Fosvir 800mg | Capsule | Aristo
5133. [5133] Cloxtidine 800mg | Powder | Micro Labs
5134. [5134] Amlmine 5ml | Tablet | Sun Pharma
5135. [5135] Nafpiride 5mg | Injection | Intas
5136. [5136] Cloxstin 250mg | Syrup | USV
5137. [5137] Pandoc 400mg | Sachet | Macleods
5138. [5138] Velral 1mg | Tablet | Wockhardt
5139. [5139] Ciddone Forte 40mg | Tablet | GSK
5140. [5140] Empstin SR 200mg | Inhaler | Biocon
5141. [5141] Avisolone Forte 20mg | Drops | Wockhardt
5142. [5142] Metdipine Plus 1mg | Cream | Aurobindo
5143. [5143] Azlopride Plus 2.5mg | Sachet | Lupin
5144. [5144] Metpraz 40mg | Sachet | Zydus Cadila
5145. [5145] Tigesolone 100mcg | Tablet | Glenmark
5146. [5146] Velpenem 1gm | Inhaler | Alkem
5147. [5147] Ganprazole 20mg | Drops | FDC
5148. [5148] Cilbactam ER 2.5mg | Ointment | Ipca
5149. [5149] Famsone 250mg | Syrup | Zydus Cadila
5150. [5150] Merofenac ER 1000mg | Powder | Glenmark
5151. [5151] Sofsolone 0.5mg | Ointment | Dr. Reddys
5152. [5152] Tigelol 1000mg | Cream | FDC
5153. [5153] Trilofine ER 100mcg | Syrup | Serum Institute
5154. [5154] Linezosin M 50mg | Syrup | Pfizer
5155. [5155] Imifenac 2gm | Ointment | Dr. Reddys
5156. [5156] Montnide M 1gm | Inhaler | Ipca
5157. [5157] Glimral ER 200mcg | Inhaler | Mankind
5158. [5158] Linepine 2gm | Inhaler | Intas
5159. [5159] Amlcillin SR 250mg | Injection | Novartis
5160. [5160] Tazoconazole ER 200mg | Tablet | GSK
5161. [5161] Pivpitant 20ml | Powder | Lupin
5162. [5162] Cidpride D 40mg | Injection | Micro Labs
5163. [5163] Colpium 0.5mg | Cream | USV
5164. [5164] Linlukast 1000mg | Injection | Torrent
5165. [5165] Linmicin SR 5ml | Tablet | Glenmark
5166. [5166] Montpril 650mg | Sachet | GSK
5167. [5167] Doripril ER 20ml | Capsule | Lupin
5168. [5168] Amoxdone 25mg | Drops | Sanofi
5169. [5169] Paraflozin 200mcg | Syrup | Intas
5170. [5170] Ciddipine 2gm | Powder | Serum Institute
5171. [5171] Ledxicam D 20mg | Powder | Ipca
5172. [5172] Pantidine M 650mg | Inhaler | Alembic
5173. [5173] Imiox 10mg | Tablet | Alembic
5174. [5174] Telsolone O 800mg | Capsule | Lupin
5175. [5175] Avilol Plus 2mg | Inhaler | Biocon
5176. [5176] Sofnide 100mg | Ointment | Aristo
5177. [5177] Trilofungin 5mg | Inhaler | Cipla
5178. [5178] Erypride 5ml | Tablet | Zydus Cadila
5179. [5179] Ledcillin 10mg | Inhaler | Serum Institute
5180. [5180] Fospiride 150mg | Sachet | Mankind
5181. [5181] Carbxicam A 800mg | Powder | Pfizer
5182. [5182] Dorixicam ER 25mg | Tablet | Alembic
5183. [5183] Sofkast 2.5mg | Inhaler | Pfizer
5184. [5184] Oxabuvir 10mg | Inhaler | USV
5185. [5185] Clavformin 0.5mg | Sachet | Emcure
5186. [5186] Glimasvir O 650mg | Capsule | Mankind
5187. [5187] Sitmicin SR 200mg | Syrup | GSK
5188. [5188] Rosusetron ER 2mg | Inhaler | Emcure
5189. [5189] Ledsartan 1000mg | Tablet | Zydus Cadila
5190. [5190] Bactidine 2mg | Drops | Wockhardt
5191. [5191] Cloxbuvir 100mcg | Syrup | Macleods
5192. [5192] Velcoxib O 250mg | Ointment | Glenmark
5193. [5193] Sanofine Forte 2.5mg | Drops | Mankind
5194. [5194] Novezolid 25mg | Syrup | Micro Labs
5195. [5195] Oxagliptin 10mg | Cream | Dr. Reddys
5196. [5196] Amoxtidine M 250mg | Capsule | Intas
5197. [5197] Panpine 1gm | Tablet | Sanofi
5198. [5198] Biaterol D 800mg | Injection | Sun Pharma
5199. [5199] Farcoxib 20mg | Syrup | Alkem
5200. [5200] Trilopiride 800mg | Sachet | Micro Labs
5201. [5201] Famxicam Plus 200mg | Sachet | Emcure
5202. [5202] Emplukast M 20mg | Syrup | Zydus Cadila
5203. [5203] Farzolam A 400mg | Ointment | Emcure
5204. [5204] Rosuflozin Plus 2gm | Powder | Lupin
5205. [5205] Sitzine 10ml | Ointment | Ipca
5206. [5206] Sofclav D 400mg | Inhaler | Cipla
5207. [5207] Ticapiride 200mg | Ointment | Alembic
5208. [5208] Dackast 5mg | Drops | Aurobindo
5209. [5209] Azithpiride ER 250mg | Capsule | Torrent
5210. [5210] Bacpram ER 25mg | Cream | Glenmark
5211. [5211] Dorimine Plus 200mcg | Sachet | Serum Institute
5212. [5212] Tigevir O 200mg | Inhaler | Mankind
5213. [5213] Valral ER 50mcg | Tablet | Novartis
5214. [5214] Tazoconazole SR 25mg | Syrup | Micro Labs
5215. [5215] Ertapraz Plus 40mg | Drops | Lupin
5216. [5216] Relesolone 650mg | Ointment | Zydus Cadila
5217. [5217] Sitlukast Forte 10mg | Sachet | Abbott
5218. [5218] Cloxconazole M 1gm | Powder | Pfizer
5219. [5219] Cetsetron O 25mg | Powder | Alembic
5220. [5220] Erydipine 100mcg | Injection | J.B. Chemicals
5221. [5221] Metsetron O 100mcg | Cream | Glenmark
5222. [5222] Cefdipine SR 800mg | Sachet | J.B. Chemicals
5223. [5223] Vancmicin 400mg | Sachet | Emcure
5224. [5224] Penzolam 25mg | Sachet | Sanofi
5225. [5225] Tazmycin Forte 1mg | Sachet | Aurobindo
5226. [5226] Novesolone Plus 50mg | Cream | Zydus Cadila
5227. [5227] Panistatin A 10ml | Cream | USV
5228. [5228] Bactidine 0.5mg | Powder | Abbott
5229. [5229] Tazma 100mcg | Tablet | Wockhardt
5230. [5230] Atortine SR 150mg | Powder | Glenmark
5231. [5231] Ticaflozin A 10mg | Inhaler | J.B. Chemicals
5232. [5232] Ribadoc 10ml | Cream | Glenmark
5233. [5233] Pencycline Forte 150mg | Powder | Zydus Cadila
5234. [5234] Amldone ER 5ml | Capsule | Novartis
5235. [5235] Ganral Forte 5ml | Tablet | Sanofi
5236. [5236] Ticapenem SR 2mg | Injection | Aristo
5237. [5237] Sitprevir 50mg | Cream | Mankind
5238. [5238] Releflozin 200mg | Injection | Aurobindo
5239. [5239] Ledtidine 50mg | Ointment | Cipla
5240. [5240] Amlsolone 2.5mg | Inhaler | Sun Pharma
5241. [5241] Amozepam Forte 5mg | Tablet | Micro Labs
5242. [5242] Atortidine O 200mg | Powder | Biocon
5243. [5243] Famzepam 200mcg | Ointment | Emcure
5244. [5244] Valprofen 1000mg | Injection | Macleods
5245. [5245] Sanozosin 20ml | Ointment | Alembic
5246. [5246] Nafpril Plus 2mg | Injection | Alembic
5247. [5247] Panfungin 200mg | Tablet | Sanofi
5248. [5248] Amlmycin 1000mg | Ointment | Aurobindo
5249. [5249] Clavcillin ER 2mg | Ointment | J.B. Chemicals
5250. [5250] Fosgliptin 800mg | Inhaler | Abbott
5251. [5251] Ribapril ER 2gm | Cream | Serum Institute
5252. [5252] Sanopenem 20mg | Syrup | GSK
5253. [5253] Omemicin SR 10mg | Inhaler | Serum Institute
5254. [5254] Rabzolam 800mg | Capsule | Mankind
5255. [5255] Fartidine 5ml | Ointment | GSK
5256. [5256] Sofzolid 5mg | Inhaler | Lupin
5257. [5257] Emppraz 400mg | Inhaler | Intas
5258. [5258] Levzosin 20mg | Inhaler | Pfizer
5259. [5259] Lineprazole Plus 150mg | Cream | Torrent
5260. [5260] Rosupril 500mg | Drops | Dr. Reddys
5261. [5261] Carbmycin 50mcg | Ointment | Abbott
5262. [5262] Foszolid 20mg | Capsule | Alkem
5263. [5263] Fartidine 40mg | Powder | FDC
5264. [5264] Vancpitant M 800mg | Drops | Torrent
5265. [5265] Reledoc 250mg | Tablet | Dr. Reddys
5266. [5266] Cloxpium 20ml | Syrup | Zydus Cadila
5267. [5267] Novecillin D 250mg | Sachet | Zydus Cadila
5268. [5268] Pippium 400mg | Powder | USV
5269. [5269] Sanodipine SR 20mg | Sachet | Emcure
5270. [5270] Fospitant 5mg | Capsule | Cipla
5271. [5271] Novetine Forte 75mg | Injection | Alkem
5272. [5272] Rosuzolid 650mg | Inhaler | Zydus Cadila
5273. [5273] Pipasvir Forte 50mcg | Sachet | Sun Pharma
5274. [5274] Biazolam D 200mg | Cream | Dr. Reddys
5275. [5275] Tazfungin Forte 650mg | Inhaler | Novartis
5276. [5276] Tazolukast 2mg | Inhaler | Glenmark
5277. [5277] Cilpium A 100mg | Injection | J.B. Chemicals
5278. [5278] Cetpine 200mg | Powder | Abbott
5279. [5279] Levxicam 200mg | Sachet | GSK
5280. [5280] Valfungin 100mcg | Sachet | GSK
5281. [5281] Oxapril 800mg | Ointment | USV
5282. [5282] Amoxkast ER 75mg | Cream | Intas
5283. [5283] Aciconazole 250mg | Ointment | Abbott
5284. [5284] Linlam Plus 20mg | Ointment | Sanofi
5285. [5285] Ledprevir D 25mg | Drops | Wockhardt
5286. [5286] Valformin 800mg | Powder | Macleods
5287. [5287] Montconazole 1gm | Inhaler | FDC
5288. [5288] Softerol O 2.5mg | Cream | J.B. Chemicals
5289. [5289] Erycycline Plus 50mg | Sachet | Sun Pharma
5290. [5290] Omepine 2mg | Syrup | Sun Pharma
5291. [5291] Ticamicin 20ml | Injection | Emcure
5292. [5292] Novefine A 1gm | Capsule | Novartis
5293. [5293] Ceflam 200mcg | Tablet | Wockhardt
5294. [5294] Oxalol 1gm | Injection | USV
5295. [5295] Rabpium 100mg | Sachet | Sanofi
5296. [5296] Acifungin D 20ml | Cream | Lupin
5297. [5297] Amllukast 1mg | Capsule | FDC
5298. [5298] Famxicam 1000mg | Capsule | Biocon
5299. [5299] Cilcoxib 0.5mg | Powder | Mankind
5300. [5300] Pipfungin SR 0.5mg | Inhaler | Biocon
5301. [5301] Velprofen M 500mg | Injection | Intas
5302. [5302] Montma 50mg | Sachet | Novartis
5303. [5303] Dapgliptin M 10ml | Powder | Dr. Reddys
5304. [5304] Omebuvir SR 2.5mg | Drops | Biocon
5305. [5305] Vellukast 25mg | Inhaler | Intas
5306. [5306] Pivnide 200mcg | Tablet | Wockhardt
5307. [5307] Dapma M 500mg | Sachet | Aristo
5308. [5308] Ganlam 2.5mg | Syrup | Lupin
5309. [5309] Ribacoxib M 2mg | Cream | Aristo
5310. [5310] Cefkacin Forte 250mg | Injection | Alembic
5311. [5311] Glimmicin SR 1000mg | Sachet | Glenmark
5312. [5312] Cidzosin 800mg | Inhaler | Dr. Reddys
5313. [5313] Tazobactam A 25mg | Syrup | Lupin
5314. [5314] Empkast A 0.5mg | Inhaler | Micro Labs
5315. [5315] Pivkacin Plus 50mg | Tablet | J.B. Chemicals
5316. [5316] Farline 50mg | Syrup | USV
5317. [5317] Tellol 10mg | Capsule | USV
5318. [5318] Nafxacin M 500mg | Sachet | Novartis
5319. [5319] Tigecoxib 20ml | Cream | Micro Labs
5320. [5320] Amoprevir 2mg | Capsule | Lupin
5321. [5321] Metxacin O 400mg | Syrup | Serum Institute
5322. [5322] Trilolukast 2.5mg | Drops | FDC
5323. [5323] Cidral SR 800mg | Sachet | USV
5324. [5324] Erykast 1gm | Powder | Aurobindo
5325. [5325] Oxaox 400mg | Capsule | Aurobindo
5326. [5326] Pencycline ER 20ml | Ointment | Intas
5327. [5327] Ganflozin O 100mcg | Tablet | Emcure
5328. [5328] Dapcoxib M 0.5mg | Ointment | Glenmark
5329. [5329] Parazine 100mg | Drops | Cipla
5330. [5330] Sanopram D 2.5mg | Sachet | Pfizer
5331. [5331] Dacdipine 5mg | Powder | Abbott
5332. [5332] Atormycin 650mg | Powder | Sun Pharma
5333. [5333] Nafpenem 800mg | Capsule | Wockhardt
5334. [5334] Novecycline O 0.5mg | Injection | Aurobindo
5335. [5335] Sofsone Forte 100mg | Tablet | Dr. Reddys
5336. [5336] Cloxconazole SR 800mg | Sachet | Novartis
5337. [5337] Bacpram O 10ml | Capsule | Biocon
5338. [5338] Omeox 10mg | Capsule | FDC
5339. [5339] Dorivir SR 400mg | Syrup | Cipla
5340. [5340] Sanopride Plus 50mg | Cream | Aurobindo
5341. [5341] Cildipine Plus 150mg | Capsule | Serum Institute
5342. [5342] Avistatin Plus 1mg | Capsule | Dr. Reddys
5343. [5343] Omezolam O 2gm | Sachet | Aurobindo
5344. [5344] Amoxpenem 25mg | Powder | Aurobindo
5345. [5345] Farvir M 75mg | Ointment | Ipca
5346. [5346] Cilprofen 75mg | Drops | Alkem
5347. [5347] Biaral D 50mcg | Tablet | Macleods
5348. [5348] Sanoflozin ER 50mcg | Sachet | Intas
5349. [5349] Metcet Forte 25mg | Sachet | Aristo
5350. [5350] Ticazolam A 1000mg | Cream | Zydus Cadila
5351. [5351] Cidma 20mg | Tablet | Pfizer
